#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.43065  0.58726  0.12325  1.40861  0.021183  0.001778 -0.000421    11.911
   0.44185  0.57627  0.12540  1.40961  0.020951  0.001763 -0.000761    11.884
   0.45301  0.56530  0.12749  1.41057  0.020626  0.001748 -0.000768    11.798
   0.46413  0.55437  0.12950  1.41150  0.020227  0.001734 -0.000775    11.662
   0.47521  0.54346  0.13145  1.41242  0.019763  0.001721 -0.000782    11.482
   0.48623  0.53260  0.13333  1.41334  0.019248  0.001708 -0.000789    11.267
   0.49721  0.52177  0.13513  1.41427  0.018685  0.001696 -0.000796    11.019
   0.50813  0.51099  0.13687  1.41521  0.018086  0.001683 -0.000804    10.745
   0.51899  0.50025  0.13853  1.41619  0.017455  0.001671 -0.000811    10.448
   0.52980  0.48956  0.14011  1.41720  0.016798  0.001658 -0.000819    10.131
   0.54054  0.47893  0.14162  1.41827  0.016120  0.001645 -0.000828     9.797
   0.55122  0.46835  0.14305  1.41940  0.015427  0.001632 -0.000837     9.451
   0.56182  0.45783  0.14441  1.42062  0.014722  0.001619 -0.000846     9.095
   0.57235  0.44738  0.14568  1.42193  0.014012  0.001605 -0.000857     8.732
   0.58280  0.43699  0.14688  1.42335  0.013296  0.001590 -0.000869     8.362
   0.59317  0.42669  0.14799  1.42491  0.012584  0.001575 -0.000882     7.992
   0.60344  0.41647  0.14902  1.42664  0.011873  0.001558 -0.000897     7.620
   0.61362  0.40633  0.14998  1.42855  0.011173  0.001541 -0.000914     7.250
   0.62370  0.39630  0.15084  1.43068  0.010484  0.001523 -0.000933     6.886
   0.63366  0.38637  0.15163  1.43307  0.009807  0.001503 -0.000955     6.526
   0.64350  0.37655  0.15233  1.43576  0.009148  0.001482 -0.000981     6.173
   0.65321  0.36685  0.15295  1.43881  0.008510  0.001460 -0.001012     5.830
   0.66279  0.35729  0.15349  1.44226  0.007890  0.001436 -0.001048     5.496
   0.67222  0.34787  0.15394  1.44617  0.007296  0.001410 -0.001091     5.175
   0.68149  0.33861  0.15431  1.45061  0.006726  0.001382 -0.001137     4.866
   0.69059  0.32951  0.15461  1.45562  0.006180  0.001353 -0.001169     4.568
   0.69952  0.32059  0.15482  1.46124  0.005658  0.001322 -0.001176     4.280
   0.70825  0.31186  0.15496  1.46734  0.005163  0.001290 -0.001120     4.003
   0.71677  0.30334  0.15503  1.47409  0.004683  0.001256 -0.000943     3.730
   0.72509  0.29502  0.15501  1.48170  0.004232  0.001218 -0.000584     3.473
   0.73320  0.28691  0.15487  1.48996  0.003855  0.001179  0.000047     3.269
   0.74115  0.27897  0.15461  1.49847  0.003538  0.001139  0.001007     3.105
   0.74895  0.27118  0.15423  1.50678  0.003276  0.001101  0.002151     2.977
   0.75661  0.26353  0.15374  1.51457  0.003058  0.001064  0.003419     2.875
   0.76416  0.25600  0.15314  1.52162  0.002872  0.001029  0.004718     2.792
   0.77160  0.24860  0.15244  1.52769  0.002717  0.000996  0.006015     2.727
   0.77894  0.24130  0.15164  1.53283  0.002582  0.000966  0.007293     2.672
   0.78618  0.23412  0.15073  1.53689  0.002466  0.000938  0.008486     2.629
   0.79333  0.22704  0.14973  1.53995  0.002365  0.000912  0.009644     2.592
   0.80039  0.22006  0.14863  1.54211  0.002273  0.000888  0.010710     2.559
   0.80737  0.21319  0.14744  1.54319  0.002193  0.000865  0.011713     2.534
   0.81426  0.20642  0.14616  1.54339  0.002120  0.000844  0.012696     2.511
   0.82107  0.19975  0.14480  1.54275  0.002053  0.000824  0.013574     2.491
   0.82779  0.19318  0.14335  1.54118  0.001993  0.000806  0.014416     2.474
   0.83443  0.18673  0.14182  1.53887  0.001936  0.000788  0.015227     2.459
   0.84098  0.18038  0.14021  1.53572  0.001885  0.000771  0.015961     2.446
   0.84744  0.17414  0.13853  1.53190  0.001837  0.000755  0.016682     2.434
   0.85381  0.16801  0.13678  1.52732  0.001792  0.000739  0.017336     2.424
   0.86009  0.16200  0.13497  1.52220  0.001748  0.000724  0.017979     2.414
   0.86628  0.15610  0.13309  1.51629  0.001708  0.000710  0.018566     2.406
   0.87237  0.15033  0.13115  1.50979  0.001670  0.000696  0.019181     2.398
   0.87836  0.14467  0.12916  1.50272  0.001633  0.000683  0.019719     2.391
   0.88425  0.13915  0.12712  1.49503  0.001599  0.000670  0.020240     2.385
   0.89004  0.13375  0.12504  1.48689  0.001565  0.000658  0.020746     2.379
   0.89572  0.12848  0.12291  1.47816  0.001534  0.000646  0.021202     2.374
   0.90129  0.12335  0.12075  1.46902  0.001503  0.000634  0.021680     2.369
   0.90676  0.11834  0.11856  1.45921  0.001475  0.000623  0.022095     2.367
   0.91211  0.11347  0.11634  1.44930  0.001446  0.000612  0.022535     2.362
   0.91734  0.10874  0.11410  1.43889  0.001418  0.000601  0.022836     2.358
   0.92246  0.10414  0.11184  1.42807  0.001391  0.000591  0.023248     2.354
   0.92747  0.09968  0.10956  1.41676  0.001366  0.000581  0.023630     2.352
   0.93236  0.09536  0.10728  1.40529  0.001340  0.000571  0.023997     2.348
   0.93714  0.09117  0.10499  1.39334  0.001316  0.000561  0.024281     2.346
   0.94180  0.08711  0.10270  1.38107  0.001293  0.000552  0.024649     2.345
   0.94634  0.08319  0.10041  1.36872  0.001269  0.000542  0.024926     2.341
   0.95077  0.07940  0.09812  1.35592  0.001246  0.000533  0.025174     2.338
   0.95509  0.07573  0.09584  1.34271  0.001225  0.000524  0.025520     2.338
   0.95929  0.07219  0.09356  1.32951  0.001202  0.000515  0.025810     2.335
   0.96339  0.06878  0.09130  1.31599  0.001180  0.000506  0.025984     2.332
   0.96737  0.06548  0.08906  1.30196  0.001161  0.000498  0.026287     2.332
   0.97126  0.06231  0.08682  1.28795  0.001140  0.000489  0.026585     2.331
   0.97503  0.05925  0.08461  1.27382  0.001118  0.000481  0.026710     2.327
   0.97871  0.05630  0.08241  1.25912  0.001100  0.000473  0.026920     2.326
   0.98229  0.05346  0.08023  1.24435  0.001080  0.000465  0.027257     2.324
   0.98578  0.05073  0.07807  1.22929  0.001061  0.000457  0.027387     2.323
   0.98917  0.04809  0.07593  1.21409  0.001041  0.000449  0.027600     2.319
   0.99247  0.04556  0.07381  1.19836  0.001023  0.000441  0.027772     2.319
   0.99569  0.04312  0.07171  1.18259  0.001004  0.000434  0.028047     2.317
   0.99882  0.04078  0.06963  1.16630  0.000989  0.000426  0.028131     2.318
   1.00187  0.03852  0.06758  1.15033  0.000967  0.000418  0.028357     2.312
   1.00485  0.03636  0.06554  1.13332  0.000952  0.000411  0.028325     2.314
